who_are_you,looking_for,relationship_type,self_description,preference,music_preference,relationship_values,deal_breakers
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Classical,"Shared interests, Independence, Mutual respect, Communication, Emotional support, Trust and honesty",Religious views
straight_female,straight_female,Something Casual,Extrovert,Morning Person,Pop,"Emotional support, Mutual respect, Independence, Shared interests, Trust and honesty, Communication",Drinking
queer,straight_female,Something Serious,Extrovert,Morning Person,Pop,Shared interests,Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Rock,"Communication, Independence",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Trust and honesty, Mutual respect, Independence, Shared interests",Political views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Hollywood Rizz Songs,Emotional support,Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Communication, Shared interests, Mutual respect, Independence, Emotional support, Trust and honesty",Religious views
straight_male,queer,Something Casual,Somewhere in Between,Night Owl,Classical,Mutual respect,Smoking
straight_male,straight_female,Something Serious,Extrovert,Morning Person,Romantic Bollywood,"Mutual respect, Emotional support",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Emotional support, Independence, Trust and honesty",Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Emotional support, Trust and honesty, Independence, Mutual respect",Drinking
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Country,Emotional support,Drinking
straight_male,straight_female,Something Serious,Introvert,Night Owl,Rock,"Mutual respect, Trust and honesty, Shared interests, Emotional support, Communication, Independence",Political views
straight_female,straight_female,Something Casual,Extrovert,Morning Person,Classical,"Emotional support, Independence, Communication, Trust and honesty, Mutual respect",Drinking
straight_female,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,Independence,Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Independence, Shared interests",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Trust and honesty, Mutual respect, Communication",Religious views
straight_male,straight_male,Something Casual,Introvert,Night Owl,Classical,"Independence, Communication, Emotional support, Shared interests, Trust and honesty, Mutual respect",Political views
straight_female,straight_female,Something Serious,Introvert,Night Owl,Classical,"Trust and honesty, Mutual respect, Communication, Independence, Shared interests, Emotional support",Religious views
straight_female,straight_female,Something Serious,Introvert,Night Owl,Country,"Trust and honesty, Communication, Emotional support, Mutual respect, Shared interests, Independence",Smoking
straight_female,straight_male,Something Casual,Somewhere in Between,Morning Person,Pop,"Communication, Shared interests, Independence, Emotional support, Mutual respect",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Rock,Shared interests,Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Rock,"Trust and honesty, Independence, Communication, Shared interests, Emotional support, Mutual respect",Smoking
straight_female,straight_female,Something Casual,Somewhere in Between,Morning Person,Country,"Communication, Emotional support, Mutual respect",Political views
straight_female,straight_male,Something Casual,Introvert,Night Owl,Pop,"Trust and honesty, Emotional support, Mutual respect",Drinking
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Pop,Mutual respect,Smoking
straight_female,bisexual,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Communication, Emotional support",Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Shared interests, Trust and honesty, Communication",Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Romantic Bollywood,"Trust and honesty, Independence, Emotional support",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Classical,"Emotional support, Mutual respect, Communication, Independence, Trust and honesty, Shared interests",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Trust and honesty, Shared interests, Independence, Communication, Mutual respect, Emotional support",Religious views
straight_male,straight_female,Something Serious,Introvert,Morning Person,Romantic Bollywood,"Shared interests, Mutual respect, Communication, Trust and honesty",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Communication, Trust and honesty, Independence, Emotional support, Mutual respect, Shared interests",Religious views
straight_male,straight_female,Something Casual,Introvert,Night Owl,Classical,Emotional support,Smoking
straight_male,straight_female,Something Serious,Introvert,Night Owl,Country,"Independence, Trust and honesty, Emotional support, Shared interests, Communication",Political views
straight_female,straight_female,Something Casual,Introvert,Night Owl,Pop,"Emotional support, Independence",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Classical,"Communication, Independence, Shared interests, Mutual respect",Drinking
straight_male,straight_female,Something Serious,Extrovert,Morning Person,Rock,"Mutual respect, Independence, Trust and honesty, Shared interests, Communication",Religious views
queer,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Communication, Mutual respect, Shared interests, Emotional support, Trust and honesty, Independence",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Communication, Independence, Mutual respect",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Rock,"Emotional support, Independence, Communication, Shared interests",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Pop,Emotional support,Drinking
straight_female,straight_female,Something Serious,Introvert,Morning Person,Hollywood Rizz Songs,"Mutual respect, Independence, Emotional support, Communication",Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Trust and honesty, Mutual respect, Communication",Political views
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Rock,"Mutual respect, Independence, Communication, Shared interests, Emotional support",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Pop,"Communication, Mutual respect, Shared interests, Trust and honesty, Independence, Emotional support",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Rock,"Independence, Shared interests, Emotional support, Communication, Trust and honesty",Smoking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,"Mutual respect, Communication, Independence, Emotional support, Trust and honesty, Shared interests",Smoking
straight_male,straight_male,Something Casual,Extrovert,Morning Person,Classical,"Communication, Trust and honesty, Shared interests, Emotional support, Independence, Mutual respect",Drinking
straight_female,straight_female,Something Serious,Introvert,Night Owl,Rock,"Mutual respect, Shared interests",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Mutual respect, Communication, Shared interests, Trust and honesty, Independence",Political views
straight_male,straight_female,Something Casual,Extrovert,Night Owl,Country,Mutual respect,Smoking
straight_female,straight_male,Something Casual,Introvert,Morning Person,Pop,"Trust and honesty, Mutual respect, Emotional support, Shared interests, Communication, Independence",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Emotional support, Independence, Communication, Trust and honesty",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Classical,Emotional support,Political views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Country,Trust and honesty,Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Emotional support, Trust and honesty, Independence, Mutual respect, Shared interests, Communication",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Mutual respect, Independence, Shared interests",Political views
bisexual,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Communication, Emotional support, Independence, Trust and honesty, Mutual respect",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Classical,"Mutual respect, Independence, Trust and honesty, Emotional support",Drinking
straight_male,straight_male,Something Serious,Introvert,Morning Person,Hollywood Rizz Songs,"Emotional support, Independence, Trust and honesty, Mutual respect, Communication",Political views
straight_male,bisexual,Something Casual,Extrovert,Night Owl,Classical,"Mutual respect, Independence",Drinking
straight_male,straight_male,Something Serious,Introvert,Morning Person,Romantic Bollywood,"Communication, Emotional support, Independence, Trust and honesty",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Rock,"Emotional support, Shared interests",Drinking
straight_male,bisexual,Something Serious,Somewhere in Between,Night Owl,Rock,Trust and honesty,Political views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Trust and honesty, Independence, Shared interests, Mutual respect, Emotional support",Political views
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,Emotional support,Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Communication, Mutual respect",Drinking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Trust and honesty, Shared interests",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,Trust and honesty,Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Trust and honesty, Independence",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Pop,"Communication, Emotional support",Smoking
straight_female,straight_female,Something Casual,Introvert,Night Owl,Romantic Bollywood,"Trust and honesty, Shared interests, Communication, Independence, Mutual respect, Emotional support",Drinking
straight_female,straight_female,Something Serious,Extrovert,Morning Person,Country,"Emotional support, Trust and honesty, Independence, Mutual respect, Shared interests, Communication",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Independence, Communication",Drinking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,Emotional support,Smoking
straight_male,straight_male,Something Serious,Introvert,Night Owl,Rock,"Independence, Emotional support, Shared interests, Trust and honesty, Mutual respect, Communication",Religious views
transgender,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Independence, Shared interests, Emotional support, Trust and honesty, Mutual respect",Smoking
straight_female,straight_female,Something Serious,Extrovert,Morning Person,Hollywood Rizz Songs,Independence,Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Independence, Communication, Emotional support, Trust and honesty, Shared interests, Mutual respect",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Communication, Shared interests, Independence, Mutual respect, Emotional support",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Communication, Mutual respect, Independence, Shared interests",Smoking
straight_male,straight_female,Something Serious,Introvert,Night Owl,Hollywood Rizz Songs,"Emotional support, Mutual respect, Communication, Independence, Trust and honesty, Shared interests",Smoking
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Rock,"Shared interests, Independence, Communication, Trust and honesty",Drinking
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Independence, Trust and honesty, Communication, Mutual respect, Emotional support",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Shared interests, Trust and honesty, Communication, Independence, Emotional support",Religious views
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Romantic Bollywood,"Emotional support, Communication, Shared interests, Mutual respect, Independence, Trust and honesty",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Emotional support, Communication, Shared interests",Smoking
lesbian,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Independence, Emotional support, Trust and honesty, Mutual respect, Shared interests",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Mutual respect, Shared interests",Political views
straight_male,straight_male,Something Serious,Introvert,Morning Person,Rock,Shared interests,Smoking
straight_male,gay,Something Serious,Somewhere in Between,Night Owl,Pop,"Independence, Emotional support",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Emotional support, Shared interests, Mutual respect, Trust and honesty, Communication",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Shared interests, Emotional support, Independence, Trust and honesty, Communication, Mutual respect",Drinking
queer,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,Trust and honesty,Drinking
straight_male,lesbian,Something Casual,Introvert,Night Owl,Romantic Bollywood,"Independence, Trust and honesty, Communication, Shared interests, Mutual respect",Smoking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Classical,"Communication, Independence",Drinking
straight_female,straight_male,Something Casual,Introvert,Night Owl,Hollywood Rizz Songs,"Trust and honesty, Independence",Political views
straight_male,straight_male,Something Serious,Introvert,Morning Person,Romantic Bollywood,"Trust and honesty, Independence, Shared interests, Communication",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Classical,"Independence, Shared interests",Political views
straight_female,bisexual,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Trust and honesty, Mutual respect, Emotional support, Independence, Shared interests",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Shared interests, Emotional support",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Independence, Emotional support, Trust and honesty, Communication, Shared interests, Mutual respect",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Mutual respect, Independence",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Communication, Trust and honesty, Mutual respect, Independence, Shared interests",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Rock,"Emotional support, Shared interests, Communication, Mutual respect",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,"Independence, Trust and honesty",Drinking
straight_female,transgender,Something Casual,Somewhere in Between,Morning Person,Rock,Mutual respect,Political views
straight_male,straight_female,Something Serious,Introvert,Morning Person,Romantic Bollywood,Emotional support,Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Independence, Emotional support",Religious views
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Rock,"Communication, Shared interests, Mutual respect, Emotional support, Trust and honesty, Independence",Religious views
straight_female,straight_female,Something Casual,Introvert,Night Owl,Rock,"Emotional support, Shared interests, Independence, Communication",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Pop,"Trust and honesty, Shared interests, Communication",Drinking
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Communication, Trust and honesty, Mutual respect, Shared interests, Emotional support, Independence",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Mutual respect, Independence, Emotional support",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Country,Independence,Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Communication, Emotional support, Trust and honesty, Independence, Mutual respect",Religious views
straight_male,straight_male,Something Casual,Introvert,Night Owl,Pop,Trust and honesty,Drinking
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Pop,"Mutual respect, Independence, Shared interests",Drinking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Shared interests, Emotional support, Communication, Trust and honesty, Mutual respect",Political views
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Pop,"Trust and honesty, Shared interests, Independence",Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Emotional support, Trust and honesty",Smoking
straight_female,gay,Something Casual,Somewhere in Between,Night Owl,Classical,"Independence, Emotional support, Communication, Shared interests, Trust and honesty, Mutual respect",Drinking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,"Emotional support, Mutual respect, Shared interests",Political views
queer,straight_male,Something Serious,Somewhere in Between,Morning Person,Hollywood Rizz Songs,"Mutual respect, Shared interests, Communication",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Mutual respect",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Communication",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Mutual respect, Independence",Drinking
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Country,"Emotional support, Mutual respect, Communication, Shared interests",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Independence, Mutual respect, Emotional support, Communication, Trust and honesty",Religious views
straight_male,bisexual,Something Casual,Introvert,Morning Person,Pop,"Independence, Emotional support, Trust and honesty",Drinking
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Rock,"Trust and honesty, Communication",Drinking
straight_male,straight_female,Something Serious,Extrovert,Morning Person,Rock,"Independence, Mutual respect, Communication, Shared interests, Trust and honesty, Emotional support",Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,Independence,Religious views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,"Independence, Mutual respect, Emotional support, Trust and honesty, Shared interests, Communication",Religious views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Hollywood Rizz Songs,Communication,Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Mutual respect, Independence, Trust and honesty",Drinking
straight_female,straight_female,Something Serious,Extrovert,Night Owl,Country,"Shared interests, Communication, Trust and honesty, Emotional support",Drinking
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Rock,"Communication, Shared interests, Independence, Trust and honesty",Political views
straight_female,straight_female,Something Serious,Somewhere in Between,Morning Person,Pop,"Trust and honesty, Emotional support, Communication, Independence, Shared interests, Mutual respect",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Mutual respect, Shared interests, Trust and honesty, Communication, Independence",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Mutual respect, Shared interests, Communication, Independence",Religious views
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Independence, Emotional support, Trust and honesty, Mutual respect",Religious views
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Mutual respect, Independence, Communication, Emotional support",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Pop,"Emotional support, Trust and honesty, Shared interests, Communication",Religious views
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Independence, Emotional support, Mutual respect, Shared interests",Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Rock,"Communication, Trust and honesty, Independence, Emotional support",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Country,"Emotional support, Shared interests, Trust and honesty, Mutual respect, Independence, Communication",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Pop,"Trust and honesty, Shared interests, Mutual respect, Independence",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Emotional support, Independence",Drinking
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Country,"Communication, Emotional support, Shared interests, Trust and honesty, Mutual respect, Independence",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Rock,"Communication, Trust and honesty, Mutual respect, Emotional support",Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Romantic Bollywood,"Independence, Trust and honesty, Communication, Emotional support",Political views
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Romantic Bollywood,"Shared interests, Trust and honesty, Independence, Communication",Drinking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Independence, Trust and honesty, Emotional support, Mutual respect, Shared interests",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Classical,"Emotional support, Mutual respect, Independence, Shared interests",Political views
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Classical,Mutual respect,Religious views
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Pop,"Emotional support, Mutual respect, Independence, Shared interests, Communication",Religious views
straight_male,straight_female,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,Mutual respect,Smoking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Independence, Emotional support, Trust and honesty, Mutual respect, Communication, Shared interests",Drinking
queer,straight_male,Something Serious,Extrovert,Night Owl,Country,"Communication, Independence",Political views
straight_male,straight_female,Something Casual,Extrovert,Night Owl,Rock,"Shared interests, Emotional support, Trust and honesty, Communication, Independence",Drinking
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Classical,"Mutual respect, Trust and honesty, Independence, Emotional support, Shared interests",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Classical,Mutual respect,Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Classical,"Communication, Emotional support, Independence, Mutual respect",Religious views
straight_male,straight_female,Something Casual,Extrovert,Night Owl,Romantic Bollywood,"Mutual respect, Independence, Shared interests, Trust and honesty, Emotional support",Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Emotional support, Independence, Trust and honesty, Mutual respect",Smoking
straight_female,straight_female,Something Serious,Introvert,Night Owl,Romantic Bollywood,Communication,Smoking
straight_female,straight_female,Something Serious,Somewhere in Between,Night Owl,Country,"Emotional support, Shared interests, Independence, Mutual respect, Communication, Trust and honesty",Drinking
straight_male,straight_female,Something Serious,Extrovert,Night Owl,Rock,"Shared interests, Mutual respect, Independence, Emotional support, Trust and honesty, Communication",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Communication, Shared interests, Trust and honesty, Independence, Emotional support, Mutual respect",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Rock,"Communication, Independence, Mutual respect, Emotional support, Trust and honesty",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Morning Person,Rock,"Independence, Trust and honesty, Emotional support",Smoking
straight_female,straight_female,Something Serious,Introvert,Night Owl,Hollywood Rizz Songs,"Shared interests, Communication",Political views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Country,"Trust and honesty, Shared interests, Mutual respect, Emotional support, Independence",Smoking
straight_female,straight_female,Something Casual,Somewhere in Between,Morning Person,Pop,"Communication, Trust and honesty, Emotional support, Mutual respect",Drinking
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Hollywood Rizz Songs,"Emotional support, Communication, Shared interests",Smoking
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Mutual respect, Independence, Shared interests, Emotional support, Trust and honesty",Drinking
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Emotional support, Communication, Trust and honesty, Shared interests",Religious views
straight_male,straight_male,Something Casual,Extrovert,Night Owl,Hollywood Rizz Songs,"Emotional support, Trust and honesty, Communication, Mutual respect, Independence, Shared interests",Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Country,"Independence, Communication, Emotional support",Political views
straight_female,gay,Something Serious,Somewhere in Between,Morning Person,Country,"Trust and honesty, Shared interests, Mutual respect, Communication, Emotional support",Religious views
straight_male,straight_female,Something Casual,Introvert,Night Owl,Hollywood Rizz Songs,"Emotional support, Independence",Smoking
straight_female,straight_female,Something Serious,Extrovert,Morning Person,Pop,Independence,Drinking
straight_female,straight_female,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Independence, Shared interests, Communication, Trust and honesty, Mutual respect",Smoking
straight_male,straight_male,Something Serious,Introvert,Night Owl,Country,"Communication, Trust and honesty",Drinking
straight_male,straight_male,Something Serious,Extrovert,Night Owl,Classical,"Independence, Communication",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Pop,"Shared interests, Trust and honesty, Mutual respect",Political views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Trust and honesty, Emotional support",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Trust and honesty, Emotional support, Mutual respect, Independence",Political views
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Mutual respect, Independence, Emotional support, Communication, Trust and honesty, Shared interests",Political views
straight_male,straight_male,Something Serious,Extrovert,Morning Person,Country,"Mutual respect, Communication, Emotional support, Independence, Trust and honesty, Shared interests",Political views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Hollywood Rizz Songs,"Emotional support, Mutual respect",Religious views
straight_female,straight_female,Something Casual,Somewhere in Between,Night Owl,Pop,"Independence, Trust and honesty, Emotional support, Communication, Shared interests, Mutual respect",Drinking
straight_male,straight_male,Something Serious,Somewhere in Between,Morning Person,Romantic Bollywood,"Communication, Emotional support, Shared interests, Mutual respect",Religious views
straight_male,straight_male,Something Casual,Extrovert,Morning Person,Rock,Mutual respect,Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Country,"Trust and honesty, Communication, Independence, Mutual respect",Religious views
straight_female,straight_female,Something Casual,Introvert,Night Owl,Hollywood Rizz Songs,"Shared interests, Communication",Religious views
straight_male,straight_female,Something Serious,Introvert,Night Owl,Rock,"Emotional support, Mutual respect, Communication, Independence, Shared interests",Drinking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Trust and honesty, Emotional support, Independence, Mutual respect",Religious views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Shared interests, Communication, Trust and honesty, Mutual respect",Smoking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Pop,Mutual respect,Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,Shared interests,Drinking
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Country,"Independence, Shared interests, Mutual respect, Communication",Political views
straight_female,straight_female,Something Casual,Extrovert,Morning Person,Pop,"Independence, Communication",Smoking
straight_female,straight_female,Something Casual,Somewhere in Between,Morning Person,Classical,"Communication, Emotional support, Mutual respect, Shared interests, Independence",Religious views
straight_male,straight_female,Something Casual,Extrovert,Morning Person,Country,"Shared interests, Mutual respect, Emotional support, Independence, Communication, Trust and honesty",Political views
straight_female,straight_male,Something Serious,Somewhere in Between,Night Owl,Rock,"Independence, Communication, Emotional support, Trust and honesty",Religious views
straight_female,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Emotional support, Mutual respect, Communication",Drinking
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Romantic Bollywood,Emotional support,Religious views
straight_male,straight_male,Something Serious,Introvert,Night Owl,Rock,"Mutual respect, Shared interests, Trust and honesty, Communication, Emotional support",Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Night Owl,Rock,"Trust and honesty, Mutual respect",Religious views
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Romantic Bollywood,"Mutual respect, Communication, Shared interests, Emotional support, Independence, Trust and honesty",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Communication, Trust and honesty, Independence, Emotional support, Mutual respect",Religious views
straight_male,straight_female,Something Serious,Somewhere in Between,Morning Person,Country,"Trust and honesty, Shared interests",Smoking
straight_male,straight_male,Something Serious,Somewhere in Between,Night Owl,Romantic Bollywood,"Mutual respect, Shared interests, Emotional support, Trust and honesty, Independence",Drinking
straight_male,straight_male,Something Casual,Somewhere in Between,Morning Person,Hollywood Rizz Songs,"Emotional support, Communication, Trust and honesty, Mutual respect",Smoking
straight_female,straight_female,Something Casual,Introvert,Morning Person,Country,"Trust and honesty, Emotional support, Communication, Shared interests",Political views
straight_male,straight_female,Something Casual,Somewhere in Between,Night Owl,Romantic Bollywood,"Shared interests, Independence, Trust and honesty",Drinking
straight_female,straight_male,Something Serious,Extrovert,Night Owl,Classical,"Emotional support, Independence, Shared interests, Mutual respect, Trust and honesty, Communication",Drinking
